symbol,date,open,high,low,close,volume,provider
PG,2025-10-25,156.4,157.4,151.53,152.49,,finnhub
QCOM,2025-10-25,171.69,172.42,168.47,168.94,,finnhub
BA,2025-10-25,219.04,221.74,218.51,221.35,,finnhub
CVX,2025-10-25,157.415,157.629,155.427,155.56,,finnhub
T,2025-10-25,24.635,25.19,24.57,25.14,,finnhub
SBUX,2025-10-25,86.095,86.84,85.86,86.09,,finnhub
HEROMOTOCO,2025-10-25,0.0,0.0,0.0,0.0,,finnhub
ABBV,2025-10-25,228.78,229.04,226.25,227.99,,finnhub
MRK,2025-10-25,87.33,88.06,87.1083,87.49,,finnhub
PYPL,2025-10-25,70.15,71.25,69.74,69.77,,finnhub
GILD,2025-10-25,120.415,121.145,118.705,120.94,,finnhub
ADSK,2025-10-25,313.01,314.51,311.15,312.88,,finnhub
SPLK,2025-10-25,0.0,0.0,0.0,0.0,,finnhub
SPGI,2025-10-25,486.97,492.225,484.58,489.45,,finnhub
ADBE,2025-10-25,357.21,358.1,353.29,353.52,,finnhub
SMPL,2025-10-25,20.78,21.1275,20.24,20.26,,finnhub
AMZN,2025-10-25,221.97,225.4,221.9,224.21,,finnhub
CDNS,2025-10-25,339.76,351.13,339.76,345.1,,finnhub
SUMO,2025-10-25,0.0,0.0,0.0,0.0,,finnhub
UPST,2025-10-25,53.97,55.22,52.46,52.69,,finnhub
INFY,2025-10-25,17.53,17.585,17.41,17.48,,finnhub
VRTX,2025-10-25,423.41,425.86,420.6,421.39,,finnhub
ZM,2025-10-25,83.355,85.28,83.2601,84.28,,finnhub
KLAC,2025-10-25,1166.0,1191.26,1160.6,1182.82,,finnhub
BRK.B,2025-10-25,490.91,492.98,489.4,492.1,,finnhub
LLY,2025-10-25,815.21,834.15,812.5001,825.45,,finnhub
TM,2025-10-25,205.19,205.8,204.89,205.37,,finnhub
CAT,2025-10-25,522.86,527.23,521.0201,522.73,,finnhub
JPM,2025-10-25,296.08,302.6,295.45,300.44,,finnhub
MMM,2025-10-25,172.0,172.85,167.75,168.5,,finnhub
OKTA,2025-10-25,89.0,89.81,88.6586,89.07,,finnhub
AMD,2025-10-25,243.36,253.39,241.95,252.92,,finnhub
DDOG,2025-10-25,158.99,160.2,156.39,156.47,,finnhub
BKNG,2025-10-25,5130.0,5176.0738,5080.0,5146.16,,finnhub
KONE,2025-10-25,0.0,0.0,0.0,0.0,,finnhub
LT,2025-10-25,0.0,0.0,0.0,0.0,,finnhub
WMT,2025-10-25,107.07,107.165,105.51,106.17,,finnhub
AZO,2025-10-25,3880.35,3880.35,3788.91,3805.56,,finnhub
ADI,2025-10-25,245.45,245.51,236.63,238.01,,finnhub
OSCR,2025-10-25,19.75,20.47,19.17,19.29,,finnhub
RELIANCE,2025-10-25,0.0,0.0,0.0,0.0,,finnhub
INTC,2025-10-25,40.02,41.12,37.83,38.28,,finnhub
PCAR,2025-10-25,100.07,100.68,99.1,100.13,,finnhub
MDLZ,2025-10-25,61.25,61.37,60.554515,60.77,,finnhub
WIPRO,2025-10-25,0.0,0.0,0.0,0.0,,finnhub
NVDA,2025-10-25,183.835,187.47,183.5,186.26,,finnhub
CRM,2025-10-25,257.42,258.5,254.0,254.83,,finnhub
ICICIBANK,2025-10-25,0.0,0.0,0.0,0.0,,finnhub
NOW,2025-10-25,945.75,950.0,928.88,930.17,,finnhub
HON,2025-10-25,220.93,220.93,214.75,216.14,,finnhub
FTNT,2025-10-25,85.77,85.86,84.98,85.56,,finnhub
INTU,2025-10-25,684.26,688.0,680.215,683.09,,finnhub
AMEX,2025-10-25,0.0,0.0,0.0,0.0,,finnhub
AAPL,2025-10-25,261.19,264.13,259.18,262.82,,finnhub
SNPS,2025-10-25,461.65,473.49,458.13,464.18,,finnhub
MCHP,2025-10-25,65.99,66.05,63.12,63.17,,finnhub
COST,2025-10-25,940.0,943.0,930.15,932.14,,finnhub
PEP,2025-10-25,152.04,152.415,151.265,151.55,,finnhub
AMAT,2025-10-25,229.0,230.72,226.29,228.75,,finnhub
IDXX,2025-10-25,641.76,650.37,639.075,640.85,,finnhub
GOOGL,2025-10-25,256.58,261.68,255.315,259.92,,finnhub
TCS,2025-10-25,0.0,0.0,0.0,0.0,,finnhub
TSLA,2025-10-25,446.83,451.68,430.17,433.72,,finnhub
ARM,2025-10-25,170.19,174.4499,169.66,170.68,,finnhub
XOM,2025-10-25,116.35,116.47,115.18,115.39,,finnhub
JNJ,2025-10-25,192.2,192.31,189.42,190.4,,finnhub
ASML,2025-10-25,1037.93,1043.4,1032.18,1033.1,,finnhub
CTSH,2025-10-25,68.52,68.84,67.81,67.86,,finnhub
LRCX,2025-10-25,149.91,153.21,148.0,151.68,,finnhub
CSCO,2025-10-25,70.635,70.94,70.06,70.63,,finnhub
MA,2025-10-25,577.24,580.82,573.08,573.67,,finnhub
GE,2025-10-25,309.19,310.3,303.57,303.87,,finnhub
AVGO,2025-10-25,352.51,358.3,350.875,354.13,,finnhub
NFLX,2025-10-25,1111.0,1114.51,1094.41,1094.69,,finnhub
SMCI,2025-10-25,48.875,49.64,48.21,48.29,,finnhub
MARUTI,2025-10-25,0.0,0.0,0.0,0.0,,finnhub
HD,2025-10-25,389.7,389.7,385.67,386.68,,finnhub
PFE,2025-10-25,24.695,24.829,24.68,24.76,,finnhub
V,2025-10-25,348.2,349.08,345.32,347.38,,finnhub
RBLX,2025-10-25,131.41,132.5,127.65,127.71,,finnhub
LIN,2025-10-25,449.54,450.4,445.59,446.0,,finnhub
META,2025-10-25,736.79,741.21,731.15,738.36,,finnhub
HDB,2025-10-25,36.53,36.83,36.25,36.76,,finnhub
KO,2025-10-25,69.91,70.05,69.645,69.71,,finnhub
APP,2025-10-25,607.565,627.11,605.5001,620.0,,finnhub
NET,2025-10-25,220.1,222.13,217.76,217.85,,finnhub
EQIX,2025-10-25,842.14,847.36,837.05,839.49,,finnhub
MSFT,2025-10-25,522.79,525.345,520.71,523.61,,finnhub
ACN,2025-10-25,250.01,251.09,247.11,247.65,,finnhub
ISRG,2025-10-25,547.625,552.45,541.46,546.51,,finnhub
MU,2025-10-25,212.39,219.82,209.98,219.02,,finnhub
BAJAJ,2025-10-25,0.0,0.0,0.0,0.0,,finnhub
CMCSA,2025-10-25,29.465,29.62,29.25,29.28,,finnhub
ORCL,2025-10-25,285.92,287.19,282.245,283.33,,finnhub
CRWD,2025-10-25,528.8,535.52,521.87,527.32,,finnhub
IBM,2025-10-25,283.77,310.75,282.21,307.46,,finnhub
RTX,2025-10-25,180.46,180.5,178.29,178.65,,finnhub
NVO,2025-10-25,53.41,53.545,52.93,52.96,,finnhub
VZ,2025-10-25,38.595,38.92,38.54,38.82,,finnhub
